minecraft:area_effect_cloud 0:0,1:1,2:5,3:7,4:7,5:7,6:2,7:1,8:7,9:15
minecraft:armor_stand 0:0,1:1,2:5,3:7,4:7,5:7,6:0,7:2,8:1,9:7,10:1,11:0,12:8,13:8,14:8,15:8,16:8,17:8
minecraft:arrow 0:0,1:1,2:5,3:7,4:7,5:7,6:0,7:12,8:1
minecraft:bat 0:0,1:1,2:5,3:7,4:7,5:7,6:0,7:2,8:1,9:7,10:1,11:0,12:0
minecraft:blaze 0:0,1:1,2:5,3:7,4:7,5:7,6:0,7:2,8:1,9:7,10:1,11:0,12:0
minecraft:boat 0:0,1:1,2:5,3:7,4:7,5:7,6:1,7:1,8:2,9:1,10:7,11:7,12:1
minecraft:cave_spider 0:0,1:1,2:5,3:7,4:7,5:7,6:0,7:2,8:1,9:7,10:1,11:0,12:0
minecraft:chicken 0:0,1:1,2:5,3:7,4:7,5:7,6:0,7:2,8:1,9:7,10:1,11:0,12:7
minecraft:cod 0:0,1:1,2:5,3:7,4:7,5:7,6:0,7:2,8:1,9:7,10:1,11:0,12:7
minecraft:cow 0:0,1:1,2:5,3:7,4:7,5:7,6:0,7:2,8:1,9:7,10:1,11:0,12:7
minecraft:creeper 0:0,1:1,2:5,3:7,4:7,5:7,6:0,7:2,8:1,9:7,10:1,11:0,12:1,13:7,14:7
minecraft:dolphin 0:0,1:1,2:5,3:7,4:7,5:7,6:0,7:2,8:1,9:7,10:1,11:0,12:9,13:7,14:1
minecraft:donkey 0:0,1:1,2:5,3:7,4:7,5:7,6:0,7:2,8:1,9:7,10:1,11:0,12:7,13:0,14:12,15:7
minecraft:drowned 0:0,1:1,2:5,3:7,4:7,5:7,6:0,7:2,8:1,9:7,10:1,11:0,12:7,13:1,14:7,15:7
minecraft:egg 0:0,1:1,2:5,3:7,4:7,5:7
minecraft:elder_guardian 0:0,1:1,2:5,3:7,4:7,5:7,6:0,7:2,8:1,9:7,10:1,11:0,12:7,13:1
minecraft:end_crystal 0:0,1:1,2:5,3:7,4:7,5:7,6:10,7:7
minecraft:ender_dragon 0:0,1:1,2:5,3:7,4:7,5:7,6:0,7:2,8:1,9:7,10:1,11:0,12:1
minecraft:ender_pearl 0:0,1:1,2:5,3:7,4:7,5:7
minecraft:enderman 0:0,1:1,2:5,3:7,4:7,5:7,6:0,7:2,8:1,9:7,10:1,11:0,12:13,13:7
