minecraft:area_effect_cloud 0:0,1:1,2:5,3:7,4:7,5:7,6:18,7:2,8:1,9:7,10:15
minecraft:armor_stand 0:0,1:1,2:5,3:7,4:7,5:7,6:18,7:0,8:2,9:1,10:7,11:1,12:10,13:0,14:8,15:8,16:8,17:8,18:8,19:8
minecraft:arrow 0:0,1:1,2:5,3:7,4:7,5:7,6:18,7:0,8:12,9:0,10:1
minecraft:bat 0:0,1:1,2:5,3:7,4:7,5:7,6:18,7:0,8:2,9:1,10:7,11:1,12:10,13:0,14:0
minecraft:blaze 0:0,1:1,2:5,3:7,4:7,5:7,6:18,7:0,8:2,9:1,10:7,11:1,12:10,13:0,14:0
minecraft:boat 0:0,1:1,2:5,3:7,4:7,5:7,6:18,7:1,8:1,9:2,10:1,11:7,12:7,13:1
minecraft:cave_spider 0:0,1:1,2:5,3:7,4:7,5:7,6:18,7:0,8:2,9:1,10:7,11:1,12:10,13:0,14:0
minecraft:chest_minecart 0:0,1:1,2:5,3:7,4:7,5:7,6:18,7:1,8:1,9:2,10:1,11:1,12:7
minecraft:chicken 0:0,1:1,2:5,3:7,4:7,5:7,6:18,7:0,8:2,9:1,10:7,11:1,12:10,13:0,14:7
minecraft:cod 0:0,1:1,2:5,3:7,4:7,5:7,6:18,7:0,8:2,9:1,10:7,11:1,12:10,13:0,14:7
minecraft:command_block_minecart 0:0,1:1,2:5,3:7,4:7,5:7,6:18,7:1,8:1,9:2,10:1,11:1,12:7,13:3,14:4
minecraft:cow 0:0,1:1,2:5,3:7,4:7,5:7,6:18,7:0,8:2,9:1,10:7,11:1,12:10,13:0,14:7
minecraft:creeper 0:0,1:1,2:5,3:7,4:7,5:7,6:18,7:0,8:2,9:1,10:7,11:1,12:10,13:0,14:1,15:7,16:7
minecraft:dolphin 0:0,1:1,2:5,3:7,4:7,5:7,6:18,7:0,8:2,9:1,10:7,11:1,12:10,13:0,14:9,15:7,16:1
minecraft:donkey 0:0,1:1,2:5,3:7,4:7,5:7,6:18,7:0,8:2,9:1,10:7,11:1,12:10,13:0,14:7,15:0,16:12,17:7
minecraft:drowned 0:0,1:1,2:5,3:7,4:7,5:7,6:18,7:0,8:2,9:1,10:7,11:1,12:10,13:0,14:7,15:1,16:7
minecraft:egg 0:0,1:1,2:5,3:7,4:7,5:7,6:18,7:6
minecraft:elder_guardian 0:0,1:1,2:5,3:7,4:7,5:7,6:18,7:0,8:2,9:1,10:7,11:1,12:10,13:0,14:7,15:1
minecraft:end_crystal 0:0,1:1,2:5,3:7,4:7,5:7,6:18,7:10,8:7
minecraft:ender_dragon 0:0,1:1,2:5,3:7,4:7,5:7,6:18,7:0,8:2,9:1,10:7,11:1,12:10,13:0,14:1
minecraft:ender_pearl 0:0,1:1,2:5,3:7,4:7,5:7,6:18,7:6
minecraft:enderman 0:0,1:1,2:5,3:7,4:7,5:7,6:18,7:0,8:2,9:1,10:7,11:1,12:10,13:0,14:13,15:7
minecraft:endermite 0:0,1:1,2:5,3:7,4:7,5:7,6:18,7:0,8:2,9:1,10:7,11:1,12:10,13:0
minecraft:evoker 0:0,1:1,2:5,3:7,4:7,5:7,6:18,7:0,8:2,9:1,10:7,11:1,12:10,13:0,14:7,15:0
minecraft:evoker_fangs 0:0,1:1,2:5,3:7,4:7,5:7,6:18
minecraft:experience_bottle 0:0,1:1,2:5,3:7,4:7,5:7,6:18,7:6
minecraft:eye_of_ender 0:0,1:1,2:5,3:7,4:7,5:7,6:18,7:6
minecraft:falling_block 0:0,1:1,2:5,3:7,4:7,5:7,6:18,7:9
minecraft:firework_rocket 0:0,1:1,2:5,3:7,4:7,5:7,6:18,7:6,8:17,9:7
minecraft:furnace_minecart 0:0,1:1,2:5,3:7,4:7,5:7,6:18,7:1,8:1,9:2,10:1,11:1,12:7,13:7
minecraft:ghast 0:0,1:1,2:5,3:7,4:7,5:7,6:18,7:0,8:2,9:1,10:7,11:1,12:10,13:0,14:7
minecraft:giant 0:0,1:1,2:5,3:7,4:7,5:7,6:18,7:0,8:2,9:1,10:7,11:1,12:10,13:0
minecraft:guardian 0:0,1:1,2:5,3:7,4:7,5:7,6:18,7:0,8:2,9:1,10:7,11:1,12:10,13:0,14:7,15:1
minecraft:hopper_minecart 0:0,1:1,2:5,3:7,4:7,5:7,6:18,7:1,8:1,9:2,10:1,11:1,12:7
minecraft:horse 0:0,1:1,2:5,3:7,4:7,5:7,6:18,7:0,8:2,9:1,10:7,11:1,12:10,13:0,14:7,15:0,16:12,17:1
minecraft:husk 0:0,1:1,2:5,3:7,4:7,5:7,6:18,7:0,8:2,9:1,10:7,11:1,12:10,13:0,14:7,15:1,16:7
minecraft:illusioner 0:0,1:1,2:5,3:7,4:7,5:7,6:18,7:0,8:2,9:1,10:7,11:1,12:10,13:0,14:7,15:0
minecraft:iron_golem 0:0,1:1,2:5,3:7,4:7,5:7,6:18,7:0,8:2,9:1,10:7,11:1,12:10,13:0,14:0
minecraft:item 0:0,1:1,2:5,3:7,4:7,5:7,6:18,7:6
minecraft:item_frame 0:0,1:1,2:5,3:7,4:7,5:7,6:18,7:6,8:1
minecraft:leash_knot 0:0,1:1,2:5,3:7,4:7,5:7,6:18
minecraft:llama 0:0,1:1,2:5,3:7,4:7,5:7,6:18,7:0,8:2,9:1,10:7,11:1,12:10,13:0,14:7,15:0,16:12,17:7,18:1,19:1,20:1
minecraft:llama_spit 0:0,1:1,2:5,3:7,4:7,5:7,6:18
minecraft:magma_cube 0:0,1:1,2:5,3:7,4:7,5:7,6:18,7:0,8:2,9:1,10:7,11:1,12:10,13:0,14:1
minecraft:minecart 0:0,1:1,2:5,3:7,4:7,5:7,6:18,7:1,8:1,9:2,10:1,11:1,12:7
minecraft:mooshroom 0:0,1:1,2:5,3:7,4:7,5:7,6:18,7:0,8:2,9:1,10:7,11:1,12:10,13:0,14:7,15:3
minecraft:mule 0:0,1:1,2:5,3:7,4:7,5:7,6:18,7:0,8:2,9:1,10:7,11:1,12:10,13:0,14:7,15:0,16:12,17:7
minecraft:ocelot 0:0,1:1,2:5,3:7,4:7,5:7,6:18,7:0,8:2,9:1,10:7,11:1,12:10,13:0,14:7,15:7
minecraft:parrot 0:0,1:1,2:5,3:7,4:7,5:7,6:18,7:0,8:2,9:1,10:7,11:1,12:10,13:0,14:7,15:0,16:12,17:1
minecraft:phantom 0:0,1:1,2:5,3:7,4:7,5:7,6:18,7:0,8:2,9:1,10:7,11:1,12:10,13:0,14:1
minecraft:pig 0:0,1:1,2:5,3:7,4:7,5:7,6:18,7:0,8:2,9:1,10:7,11:1,12:10,13:0,14:7,15:7,16:1
minecraft:player 0:0,1:1,2:5,3:7,4:7,5:7,6:18,7:0,8:2,9:1,10:7,11:1,12:10,13:2,14:1,15:0,16:0,17:14,18:14
minecraft:polar_bear 0:0,1:1,2:5,3:7,4:7,5:7,6:18,7:0,8:2,9:1,10:7,11:1,12:10,13:0,14:7,15:7
minecraft:pufferfish 0:0,1:1,2:5,3:7,4:7,5:7,6:18,7:0,8:2,9:1,10:7,11:1,12:10,13:0,14:7,15:1
minecraft:rabbit 0:0,1:1,2:5,3:7,4:7,5:7,6:18,7:0,8:2,9:1,10:7,11:1,12:10,13:0,14:7,15:1
minecraft:salmon 0:0,1:1,2:5,3:7,4:7,5:7,6:18,7:0,8:2,9:1,10:7,11:1,12:10,13:0,14:7
minecraft:sheep 0:0,1:1,2:5,3:7,4:7,5:7,6:18,7:0,8:2,9:1,10:7,11:1,12:10,13:0,14:7,15:0
minecraft:shulker 0:0,1:1,2:5,3:7,4:7,5:7,6:18,7:0,8:2,9:1,10:7,11:1,12:10,13:0,14:11,15:10,16:0,17:0
minecraft:shulker_bullet 0:0,1:1,2:5,3:7,4:7,5:7,6:18
minecraft:silverfish 0:0,1:1,2:5,3:7,4:7,5:7,6:18,7:0,8:2,9:1,10:7,11:1,12:10,13:0
minecraft:skeleton 0:0,1:1,2:5,3:7,4:7,5:7,6:18,7:0,8:2,9:1,10:7,11:1,12:10,13:0
minecraft:skeleton_horse 0:0,1:1,2:5,3:7,4:7,5:7,6:18,7:0,8:2,9:1,10:7,11:1,12:10,13:0,14:7,15:0,16:12
minecraft:slime 0:0,1:1,2:5,3:7,4:7,5:7,6:18,7:0,8:2,9:1,10:7,11:1,12:10,13:0,14:1
minecraft:snow_golem 0:0,1:1,2:5,3:7,4:7,5:7,6:18,7:0,8:2,9:1,10:7,11:1,12:10,13:0,14:0
minecraft:snowball 0:0,1:1,2:5,3:7,4:7,5:7,6:18,7:6
minecraft:spawner_minecart 0:0,1:1,2:5,3:7,4:7,5:7,6:18,7:1,8:1,9:2,10:1,11:1,12:7
minecraft:spectral_arrow 0:0,1:1,2:5,3:7,4:7,5:7,6:18,7:0,8:12,9:0
minecraft:spider 0:0,1:1,2:5,3:7,4:7,5:7,6:18,7:0,8:2,9:1,10:7,11:1,12:10,13:0,14:0
minecraft:squid 0:0,1:1,2:5,3:7,4:7,5:7,6:18,7:0,8:2,9:1,10:7,11:1,12:10,13:0
minecraft:stray 0:0,1:1,2:5,3:7,4:7,5:7,6:18,7:0,8:2,9:1,10:7,11:1,12:10,13:0
minecraft:tnt 0:0,1:1,2:5,3:7,4:7,5:7,6:18,7:1
minecraft:tnt_minecart 0:0,1:1,2:5,3:7,4:7,5:7,6:18,7:1,8:1,9:2,10:1,11:1,12:7
minecraft:trident 0:0,1:1,2:5,3:7,4:7,5:7,6:18,7:0,8:12,9:0,10:0
minecraft:tropical_fish 0:0,1:1,2:5,3:7,4:7,5:7,6:18,7:0,8:2,9:1,10:7,11:1,12:10,13:0,14:7,15:1
